Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-09-07 18:16:23,false,"Aingeray Walking","3.77","247","00:43:59","97","114","0.9","100","158","11:40","9:27","43","46","0.87","0.0","4,596","--","--","31.0","No","00:10:08","4","34.0","00:41:21","00:43:59","199","240"
Strength Training,2026-09-07 17:28:25,false,"Strength","0.00","162","00:31:21","88","123","0.7","--","--","--","--","--","--","--","0.0","8","4","1","30.0","No","00:31:21","1","31.0","00:31:21","00:31:21","--","--"
Trail Running,2026-09-06 09:32:29,false,"Chaudeney-sur-Moselle Trail Running","20.73","1,481","01:56:41","147","160","5.0","175","188","5:38","4:38","244","240","1.01","0.0","20,414","--","--","18.0","No","00:03:34.2","21","29.0","01:56:34","01:56:41","209","336"
Running,2026-09-04 18:07:55,false,"Aingeray - Base","8.06","597","00:49:53","138","152","3.4","171","174","6:12","5:31","56","57","0.95","0.0","8,390","--","--","31.0","No","00:00:50.2","9","32.0","00:49:51","00:49:53","200","250"
Running,2026-09-02 17:24:25,false,"Aingeray - Tempo","9.99","718","00:51:21","152","168","4.9","181","188","5:09","3:51","61","62","1.07","0.0","9,088","--","--","27.0","No","00:00:25.4","14","30.0","00:51:18","00:51:21","200","255"
Strength Training,2026-09-01 18:09:01,false,"Strength","0.00","295","00:40:02","109","136","2.0","--","--","--","--","--","--","--","0.0","26","13","1","28.0","No","00:40:02","1","29.0","00:40:02","00:40:02","--","--"
Strength Training,2026-08-31 18:38:49,false,"Strength","0.00","231","00:25:01","120","152","2.2","--","--","--","--","--","--","--","0.0","8","4","1","27.0","No","00:25:01","1","28.0","00:25:01","00:25:01","--","--"
Trail Running,2026-08-30 09:16:21,false," Trail des abeilles 2026 - Villey St Etienne","15.23","1,331","01:48:20","152","172","5.0","147","248","7:07","4:26","408","409","0.95","0.0","16,604","--","--","24.0","No","00:01:10.7","16","29.0","01:40:53","01:48:53","198","249"
Treadmill Running,2026-08-29 10:50:29,false,"Treadmill Running","4.01","287","00:20:30","154","170","3.5","161","170","5:07","4:30","--","--","1.21","0.0","3,282","--","--","27.0","No","00:00:05.5","5","28.0","00:20:17","00:20:30","--","--"
Running,2026-08-26 17:15:13,false,"Aingeray Running","8.86","639","00:52:15","134","152","3.5","173","176","5:54","4:57","58","58","0.98","0.0","8,908","--","--","30.0","No","00:05:02.1","9","31.0","00:52:03","00:58:08","201","255"
Cycling,2026-08-25 16:34:05,false,"Aingeray - Tempo","40.92","1,058","01:27:33","142","171","4.2","--","--","28.0","38.0","74","79","--","0.0","--","--","--","19.0","No","00:01:17.8","12","28.0","01:27:32","01:30:35","195","209"
Strength Training,2026-08-24 18:19:38,false,"Strength","0.00","322","00:51:22","99","136","1.6","--","--","--","--","--","--","--","0.0","42","21","1","23.0","No","00:51:22","1","27.0","00:51:22","00:51:22","--","--"
Running,2026-08-23 10:15:33,false,"Aingeray Running","8.88","641","00:50:38","141","158","3.7","175","178","5:42","5:00","59","61","1.00","0.0","8,734","--","--","23.0","No","00:04:54.4","9","26.0","00:50:28","00:50:38","199","253"
Strength Training,2026-08-22 18:23:22,false,"Strength","0.00","112","00:31:58","77","103","0.2","--","--","--","--","--","--","--","0.0","10","5","1","28.0","No","00:31:58","1","29.0","00:31:58","00:31:58","--","--"
Running,2026-08-21 17:59:46,false,"Aingeray Running","10.01","707","00:48:38","155","171","5.0","181","186","4:52","4:21","64","67","1.13","0.0","8,670","--","--","23.0","No","00:00:01.2","11","27.0","00:48:29","00:48:38","199","255"
Strength Training,2026-08-19 17:51:01,false,"Strength","0.00","147","00:45:01","76","103","0.2","--","--","--","--","--","--","--","0.0","14","7","1","32.0","No","00:45:01","1","32.0","00:45:01","00:45:01","--","--"
Running,2026-08-18 17:49:16,false,"Aingeray - Threshold","8.89","629","00:46:04","150","167","4.4","179","190","5:11","4:12","57","61","1.08","0.0","8,108","--","--","29.0","No","00:00:02.7","11","32.0","00:45:55","00:48:00","198","254"
Strength Training,2026-08-17 18:16:51,false,"Strength","0.00","134","00:30:10","83","136","0.8","--","--","--","--","--","--","--","0.0","8","4","1","28.0","No","00:30:10","1","32.0","00:30:10","00:30:10","--","--"
Trail Running,2026-08-16 10:58:51,false,"Aingeray Trail Running","14.01","1,019","01:25:27","140","158","4.1","171","176","6:06","5:35","82","81","0.96","0.0","14,600","--","--","31.0","No","00:00:01.8","15","34.0","01:24:50","01:28:42","198","267"
Cycling,2026-08-15 17:36:46,false,"Aingeray Cycling","40.23","991","01:32:43","129","148","3.1","--","--","26.0","37.0","136","136","--","0.0","--","--","--","33.0","No","00:00:37.8","9","37.0","01:32:39","01:32:43","199","212"
